sp_1	sp_2	sp_3	sp_4	sp_5	sp_6	sp_7
-43.34506	-44.15362	-46.82749	-41.40668	-39.88104	-39.88104	-44.4709
-43.01987	-43.49994	-45.93811	-40.46346	-40.67522	-40.67522	-44.23705
-42.71774	-42.90382	-45.04174	-39.88682	-41.89807	-41.89807	-44.00199
-42.43828	-42.36485	-44.18355	-39.6386	-43.6928	-43.6928	-43.76609
-42.18077	-41.88153	-43.38753	-39.7052	-46.3344	-46.3344	-43.5297
-41.94424	-41.45186	-42.66459	-40.09262	-50.32263	-50.32263	-43.29314
-41.72749	-41.07363	-42.01838	-40.82549	-54.76955	-54.76955	-43.05674
-41.52907	-40.7446	-41.44871	-41.94635	-51.55817	-51.55817	-42.8208
-41.34733	-40.46251	-40.95358	-43.50353	-46.86067	-46.86067	-42.58559
-41.18042	-40.22515	-40.53016	-45.47093	-43.64131	-43.64131	-42.35141
-41.02625	-40.03029	-40.17538	-47.38289	-41.38528	-41.38528	-42.11848
-40.88253	-39.87564	-39.88613	-47.76773	-39.75756	-39.75756	-41.88705
-40.74675	-39.75873	-39.65929	-46.02905	-38.58395	-38.58395	-41.65733
-40.61622	-39.67686	-39.49176	-43.68883	-37.76944	-37.76944	-41.42953
-40.48808	-39.6269	-39.38024	-41.64245	-37.26095	-37.26095	-41.20383
-40.35933	-39.60517	-39.32108	-40.0331	-37.03055	-37.03055	-40.98039
-40.22692	-39.60726	-39.30998	-38.82293	-37.06768	-37.06768	-40.75938
-40.08783	-39.62782	-39.34165	-37.95856	-37.37599	-37.37599	-40.54094
-39.93914	-39.66042	-39.40936	-37.39982	-37.97244	-37.97244	-40.32518
-39.77816	-39.69738	-39.50441	-37.12122	-38.88706	-38.88706	-40.11224
-39.60257	-39.72981	-39.61569	-37.10923	-40.15843	-40.15843	-39.9022
-39.41048	-39.74775	-39.72925	-37.35907	-41.804	-41.804	-39.69517
-39.20056	-39.74061	-39.82836	-37.87029	-43.68274	-43.68274	-39.49123
-38.97206	-39.6979	-39.89413	-38.63739	-45.08079	-45.08079	-39.29045
-38.72487	-39.61025	-39.90718	-39.62572	-44.74342	-44.74342	-39.09291
-38.45946	-39.47049	-39.85022	-40.71319	-42.87781	-42.87781	-38.89865
-38.17686	-39.27466	-39.71114	-41.5926	-40.74157	-40.74157	-38.70773
-37.87853	-39.02252	-39.4855	-41.78985	-38.88956	-38.88956	-38.52019
-37.56629	-38.71757	-39.17749	-41.08532	-37.4065	-37.4065	-38.33607
-37.24215	-38.36638	-38.79879	-39.80831	-36.26235	-36.26235	-38.15541
-36.90828	-37.97762	-38.3659	-38.41195	-35.41528	-35.41528	-37.97823
-36.56681	-37.56089	-37.89709	-37.14774	-34.8322	-34.8322	-37.80455
-36.21986	-37.12581	-37.40981	-36.10477	-34.49076	-34.49076	-37.63441
-35.86937	-36.68121	-36.91921	-35.30162	-34.37777	-34.37777	-37.4678
-35.51713	-36.23481	-36.43745	-34.73363	-34.48727	-34.48727	-37.30475
-35.16476	-35.793	-35.97376	-34.3908	-34.81835	-34.81835	-37.14526
-34.81365	-35.36086	-35.53479	-34.26342	-35.3716	-35.3716	-36.98934
-34.465	-34.94228	-35.12508	-34.3425	-36.14104	-36.14104	-36.83699
-34.11982	-34.54014	-34.7475	-34.61705	-37.0945	-37.0945	-36.68822
-33.77896	-34.15648	-34.40366	-35.06771	-38.12932	-38.12932	-36.54303
-33.4431	-33.79259	-34.09418	-35.65409	-39.00177	-39.00177	-36.40141
-33.1128	-33.44928	-33.81895	-36.29381	-39.32865	-39.32865	-36.26336
-32.78847	-33.12684	-33.57726	-36.8401	-38.86669	-38.86669	-36.12888
-32.47048	-32.82526	-33.36789	-37.09462	-37.80289	-37.80289	-35.99795
-32.15908	-32.54423	-33.18918	-36.90591	-36.52314	-36.52314	-35.87058
-31.85447	-32.28321	-33.03907	-36.29302	-35.29427	-35.29427	-35.74675
-31.55681	-32.04148	-32.91506	-35.42663	-34.23257	-34.23257	-35.62646
-31.26621	-31.81815	-32.81422	-34.49654	-33.37398	-33.37398	-35.50969
-30.98278	-31.61221	-32.73321	-33.63183	-32.72275	-32.72275	-35.39644
-30.70659	-31.42252	-32.66822	-32.90007	-32.27327	-32.27327	-35.28669
-30.43773	-31.24786	-32.61501	-32.33068	-32.01843	-32.01843	-35.18043
-30.17628	-31.0869	-32.569	-31.9337	-31.95243	-31.95243	-35.07764
-29.92231	-30.93826	-32.52531	-31.71006	-32.07097	-32.07097	-34.97833
-29.67592	-30.80046	-32.47898	-31.6561	-32.36995	-32.36995	-34.88246
-29.4372	-30.67203	-32.42515	-31.76432	-32.84194	-32.84194	-34.79004
-29.20629	-30.55145	-32.35936	-32.02147	-33.469	-33.469	-34.70103
-28.98331	-30.43719	-32.27783	-32.40364	-34.20848	-34.20848	-34.61544
-28.7684	-30.3278	-32.17776	-32.86813	-34.96988	-34.96988	-34.53324
-28.56173	-30.22185	-32.05757	-33.34352	-35.5928	-35.5928	-34.45442
-28.36348	-30.11803	-31.917	-33.72601	-35.87057	-35.87057	-34.37896
-28.17383	-30.01517	-31.75711	-33.8988	-35.6681	-35.6681	-34.30685
-27.99299	-29.91227	-31.58021	-33.7838	-35.03973	-35.03973	-34.23806
-27.82116	-29.80852	-31.38958	-33.39118	-34.17803	-34.17803	-34.17259
-27.65858	-29.70336	-31.1892	-32.81187	-33.27213	-33.27213	-34.11042
-27.50547	-29.59645	-30.98346	-32.16211	-32.44217	-32.44217	-34.05152
-27.36206	-29.48771	-30.77686	-31.5378	-31.74831	-31.74831	-33.99587
-27.2286	-29.37733	-30.5738	-31.00165	-31.21615	-31.21615	-33.94346
-27.10534	-29.26573	-30.37839	-30.58935	-30.85486	-30.85486	-33.89427
-26.99251	-29.15356	-30.19435	-30.31926	-30.66696	-30.66696	-33.84828
-26.89038	-29.04164	-30.02497	-30.19964	-30.65279	-30.65279	-33.80546
-26.79918	-28.93098	-29.87307	-30.2326	-30.81223	-30.81223	-33.76579
-26.71916	-28.8227	-29.741	-30.41526	-31.1444	-31.1444	-33.72925
-26.65057	-28.71803	-29.63071	-30.7385	-31.64529	-31.64529	-33.69581
-26.59363	-28.61823	-29.5437	-31.18294	-32.30199	-32.30199	-33.66544
-26.54858	-28.5246	-29.48112	-31.71178	-33.08089	-33.08089	-33.63813
-26.51564	-28.43843	-29.44377	-32.26162	-33.9071	-33.9071	-33.61383
-26.49503	-28.36098	-29.43209	-32.73738	-34.6403	-34.6403	-33.59251
-26.48695	-28.29346	-29.44619	-33.02645	-35.08138	-35.08138	-33.57416
-26.49158	-28.23703	-29.48582	-33.04368	-35.06602	-35.06602	-33.55872
-26.50911	-28.19275	-29.55037	-32.78294	-34.5986	-34.5986	-33.54617
-26.53967	-28.16163	-29.63878	-32.32164	-33.84844	-33.84844	-33.53646
-26.58341	-28.14456	-29.74957	-31.77275	-33.01416	-33.01416	-33.52955
-26.64041	-28.14233	-29.88068	-31.23622	-32.23405	-32.23405	-33.5254
-26.71075	-28.15565	-30.02948	-30.78085	-31.58185	-31.58185	-33.52397
-26.79446	-28.1851	-30.19267	-30.44774	-31.09115	-31.09115	-33.5252
-26.8915	-28.23116	-30.36623	-30.2595	-30.77578	-30.77578	-33.52904
-27.0018	-28.29417	-30.5454	-30.22775	-30.64132	-30.64132	-33.53542
-27.12519	-28.37434	-30.72477	-30.35741	-30.69079	-30.69079	-33.54431
-27.26145	-28.47171	-30.89833	-30.64796	-30.92694	-30.92694	-33.55561
-27.41024	-28.58615	-31.05983	-31.09163	-31.35236	-31.35236	-33.56928
-27.57109	-28.7173	-31.20303	-31.66777	-31.967	-31.967	-33.58523
-27.7434	-28.86458	-31.32226	-32.33237	-32.76129	-32.76129	-33.60339
-27.92644	-29.02711	-31.41293	-33.0035	-33.70012	-33.70012	-33.62368
-28.11923	-29.20369	-31.472	-33.55365	-34.6914	-34.6914	-33.646
-28.32063	-29.39273	-31.49836	-33.83609	-35.54477	-35.54477	-33.67027
-28.52924	-29.59218	-31.49301	-33.76157	-35.98358	-35.98358	-33.69637
-28.7434	-29.79952	-31.45889	-33.36523	-35.81526	-35.81526	-33.72422
-28.96117	-30.0117	-31.40063	-32.7794	-35.12606	-35.12606	-33.75368
-29.18032	-30.22512	-31.32401	-32.14883	-34.18813	-34.18813	-33.78466
-29.39834	-30.43565	-31.23545	-31.5792	-33.23862	-33.23862	-33.81701
-29.61249	-30.63868	-31.14153	-31.13277	-32.40834	-32.40834	-33.85062
-29.81979	-30.82933	-31.04855	-30.84219	-31.75336	-31.75336	-33.88533
-30.01716	-31.00259	-30.9623	-30.7235	-31.29345	-31.29345	-33.92101
-30.20152	-31.15366	-30.88785	-30.78408	-31.03415	-31.03415	-33.95749
-30.36991	-31.27832	-30.82952	-31.02604	-30.97705	-30.97705	-33.99463
-30.51966	-31.37326	-30.7908	-31.44582	-31.12411	-31.12411	-34.03224
-30.64859	-31.43641	-30.77445	-32.02949	-31.47897	-31.47897	-34.07017
-30.75511	-31.46723	-30.78246	-32.74182	-32.04596	-32.04596	-34.10822
-30.8384	-31.46669	-30.8161	-33.50722	-32.82552	-32.82552	-34.14622
-30.89844	-31.43726	-30.87596	-34.18905	-33.80159	-33.80159	-34.18396
-30.93604	-31.38265	-30.96188	-34.59978	-34.9111	-34.9111	-34.22126
-30.95276	-31.30746	-31.07294	-34.58951	-35.98528	-35.98528	-34.2579
-30.95086	-31.21683	-31.20737	-34.16503	-36.70064	-36.70064	-34.2937
-30.93306	-31.1161	-31.36247	-33.48409	-36.71607	-36.71607	-34.32843
-30.90245	-31.01048	-31.53448	-32.73353	-36.02082	-36.02082	-34.3619
-30.86227	-30.90484	-31.71848	-32.04661	-34.94832	-34.94832	-34.39389
-30.81578	-30.80361	-31.90831	-31.49678	-33.82946	-33.82946	-34.4242
-30.76617	-30.71065	-32.09661	-31.11909	-32.84103	-32.84103	-34.45262
-30.71637	-30.62926	-32.27498	-30.92878	-32.05069	-32.05069	-34.47896
-30.66908	-30.56219	-32.43439	-30.93193	-31.47717	-31.47717	-34.50302
-30.62669	-30.51166	-32.56579	-31.13002	-31.12204	-31.12204	-34.52461
-30.59125	-30.4794	-32.66101	-31.52004	-30.98323	-30.98323	-34.54356
-30.56449	-30.46668	-32.71367	-32.09007	-31.06009	-31.06009	-34.55971
-30.54781	-30.47438	-32.72014	-32.80823	-31.35505	-31.35505	-34.5729
-30.5423	-30.50293	-32.68003	-33.60175	-31.87297	-31.87297	-34.58298
-30.54874	-30.55239	-32.59629	-34.33004	-32.61765	-32.61765	-34.58985
-30.56761	-30.6224	-32.47478	-34.78543	-33.58125	-33.58125	-34.5934
-30.59912	-30.71216	-32.32346	-34.78586	-34.71674	-34.71674	-34.59353
-30.64318	-30.82039	-32.1514	-34.3237	-35.87673	-35.87673	-34.59018
-30.69941	-30.94527	-31.96787	-33.5732	-36.73574	-36.73574	-34.5833
-30.76716	-31.08441	-31.78171	-32.745	-36.87761	-36.87761	-34.57288
-30.84546	-31.23473	-31.60077	-31.98563	-36.20396	-36.20396	-34.55889
-30.93304	-31.39246	-31.43176	-31.37234	-35.06374	-35.06374	-34.54136
-31.02833	-31.55308	-31.28017	-30.93975	-33.84706	-33.84706	-34.52031
-31.12941	-31.71136	-31.15031	-30.70154	-32.76289	-32.76289	-34.49582
-31.23408	-31.86146	-31.04544	-30.66228	-31.88749	-31.88749	-34.46795
-31.33982	-31.99713	-30.96784	-30.82239	-31.23929	-31.23929	-34.4368
-31.44387	-32.11207	-30.91894	-31.17844	-30.81753	-30.81753	-34.40248
-31.54328	-32.20032	-30.89939	-31.71899	-30.61767	-30.61767	-34.36512
-31.63499	-32.25681	-30.90911	-32.41403	-30.63708	-30.63708	-34.32485
-31.71598	-32.27784	-30.94725	-33.19447	-30.87666	-30.87666	-34.28183
-31.78338	-32.26156	-31.01222	-33.92441	-31.34041	-31.34041	-34.23623
-31.83465	-32.20812	-31.10158	-34.3967	-32.03249	-32.03249	-34.18822
-31.86772	-32.11972	-31.21197	-34.41844	-32.94826	-32.94826	-34.13799
-31.88116	-32.00031	-31.33904	-33.96515	-34.05055	-34.05055	-34.08572
-31.8743	-31.85519	-31.47732	-33.20448	-35.21477	-35.21477	-34.03161
-31.8472	-31.69047	-31.6203	-32.35183	-36.14627	-36.14627	-33.97585
-31.80076	-31.51259	-31.76042	-31.56046	-36.41802	-36.41802	-33.91863
-31.73658	-31.32787	-31.88939	-30.91175	-35.84795	-35.84795	-33.86016
-31.65685	-31.14221	-31.99861	-30.44201	-34.73498	-34.73498	-33.80063
-31.56425	-30.96089	-32.07987	-30.16532	-33.49198	-33.49198	-33.74022
-31.46173	-30.7885	-32.12612	-30.08606	-32.35903	-32.35903	-33.67914
-31.35239	-30.6289	-32.13234	-30.2043	-31.42805	-31.42805	-33.61756
-31.23935	-30.48528	-32.09623	-30.5165	-30.72297	-30.72297	-33.55566
-31.12559	-30.3602	-32.01849	-31.01212	-30.24413	-30.24413	-33.49362
-31.01392	-30.25567	-31.90277	-31.66433	-29.98647	-29.98647	-33.43159
-30.90689	-30.17321	-31.75511	-32.41214	-29.94616	-29.94616	-33.36975
-30.80677	-30.11392	-31.58319	-33.13476	-30.12258	-30.12258	-33.30824
-30.71551	-30.07853	-31.39549	-33.64178	-30.51823	-30.51823	-33.2472
-30.63479	-30.0674	-31.2005	-33.73782	-31.13618	-31.13618	-33.18677
-30.56599	-30.08058	-31.00617	-33.36529	-31.9729	-31.9729	-33.12708
-30.51021	-30.11778	-30.81959	-32.65834	-32.99941	-32.99941	-33.06825
-30.46828	-30.17838	-30.64679	-31.82479	-34.11737	-34.11737	-33.01039
-30.4408	-30.26136	-30.4927	-31.02647	-35.08641	-35.08641	-32.9536
-30.42811	-30.3653	-30.36128	-30.35467	-35.51744	-35.51744	-32.89799
