fre,mag
2.73,-12.02833
2.733,-12.74513
2.736,-13.52819
2.739,-14.38138
2.742,-15.30411
2.745,-16.28556
2.748,-17.29367
2.751,-18.25724
2.754,-19.04761
2.757,-19.48954
2.76,-19.44255
2.763,-18.90913
2.766,-18.03266
2.769,-16.98805
2.772,-15.90252
2.775,-14.8461
2.778,-13.85032
2.781,-12.92584
2.784,-12.07333
2.787,-11.28911
2.79,-10.56794
2.793,-9.90431
2.796,-9.29293
2.799,-8.72904
2.802,-8.20836
2.805,-7.72716
2.808,-7.28213
2.811,-6.8704
2.814,-6.48943
2.817,-6.13697
2.82,-5.81102
2.823,-5.50983
2.826,-5.23179
2.829,-4.97547
2.832,-4.73957
2.835,-4.52288
2.838,-4.32431
2.841,-4.14285
2.844,-3.97753
2.847,-3.82747
2.85,-3.69182
2.853,-3.56978
2.856,-3.46057
2.859,-3.36346
2.862,-3.27774
2.865,-3.20271
2.868,-3.1377
2.871,-3.08206
2.874,-3.03516
2.877,-2.99638
2.88,-2.96512
2.883,-2.94081
2.886,-2.92289
2.889,-2.91084
2.892,-2.90416
2.895,-2.90239
2.898,-2.90509
2.901,-2.91188
2.904,-2.92243
2.907,-2.93642
2.91,-2.95364
2.913,-2.97388
2.916,-2.99702
2.919,-3.023
2.922,-3.0518
2.925,-3.08348
2.928,-3.11816
2.931,-3.156
2.934,-3.19724
2.937,-3.24214
2.94,-3.29105
2.943,-3.34433
2.946,-3.40241
2.949,-3.46572
2.952,-3.53476
2.955,-3.61004
2.958,-3.69209
2.961,-3.78147
2.964,-3.87876
2.967,-3.98454
2.97,-4.09942
2.973,-4.22401
2.976,-4.35895
2.979,-4.50488
2.982,-4.66245
2.985,-4.83234
2.988,-5.01523
2.991,-5.21183
2.994,-5.42289
2.997,-5.64916
3,-5.89145
